Reviews
"Posted: 21 April, 2018 https://steamcommunity.com/id/johnsweezy/inventory/#730_2_35191107259"
"Posted: May 12, 2023 In order to play this game you need to be the wolf. You need to know how to howl, in fact you need to be capable of howling at will, unleash that warrior howl with your mind. Then eat raw meat, learn to adore having your fur stroked and PREY ON THE SHEEP! Because we thrive in a land where the strong prey on the weak and that's called natural selection, THAT'S WHAT IT MEANS TO BE A WOLF. Don't let the sheep's bleating prevent you from enacting your genetic will, YOU MUST GNAW ON THEM. Tear them strip by strip and show them that the Úlfhéðnar do not take thralls."
"Posted: September 20, 2023 Met lots of gifted individuals that can look at the ground while spinning and still click heads. Very impressive!"
"Posted: October 29, 2022 Product received for free  Feels like an abusive realationship. Hate it while you're in it, but miss it when you're gone!"
"Posted: February 15 I installed Counter-Strike 2 thinking I was going to have fun.  What I got instead was a highly advanced psychological experiment conducted by Valve to measure how long five strangers can blame each other before someone rage-quits.  The game promises:  “Sub-tick precision”  “Enhanced graphics”  “Improved smoke physics”  What it actually delivers:  Getting one-tapped by someone who appears to be pre-aiming your future grandchildren  Teammates who bought a Negev on pistol round because “trust me bro”  Smokes so realistic you can’t see anything... including your will to win  The ranking system is a masterpiece. You can top frag, entry, clutch twice, plant the bomb, defuse the bomb, solve global warming and still lose 480 rating because your teammate decided to disconnect after round three to “fix his mic.”  Every match follows the same five stages:  Optimism  Confusion  Blame  Copium  “One more game”  Hit registration feels like you’re politely asking the enemy if they’d consider taking damage. Meanwhile, they shoot in your general postcode and you’re instantly back in spectator mode.  And yet… somehow… you queue again.  10/10 worst experience of my life. See you tomorrow."
"Posted: November 3, 2021 After 8 years playing it, I didn't improve my skills in-game.  However, I learned new language skills: now I can curse in Russian and Brazilian Portuguese.  Also, my tolerance level to guttural screams and loud sounds was increased.  Now I can bear the crying of my children for longer and I can make them feel better by singing sweet traditional songs from other cultures, such as Очи чёрные (Dark Eyes) or Garota de Ipanema (The Girl from Ipanema).  In conclusion, Counter Strike transformed me into a better father and a better person, in addition to making me more patient, tolerant to hateful people and more trained in languages and cultures.  Better than any psychiatric therapy. 10/10"
"Posted: February 11, 2021 Not only you can shoot chickens for target practice, but also you can press your use key (usually ""E"") on any chicken and it will follow you."
"Posted: June 13, 2023 >see a guy >hit every shot >run out of bullets >he turns around >kills me in one shot >damage dealt: 98 in 7 >exit cs:go  10/10"
"Posted: March 25, 2024 ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⠆⡰⢀⠆⡰⢀⠆⡰⢀⠆⡰⢀⠆⡰⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢌⠢⡑⢌⠢⡑⢌⠢⡑⢌⠢⡑⢌⠢⡑⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢌⡒⢥⢊⡱⣘⢂⠳⢌⢆⡓⡌⢎⠴⢡⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⠀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢢⡙⢆⢣⠒⡥⢊⡕⢊⠖⡘⡘⠌⢊⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⡇⠀⡀⠀⠀⠀⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⠣⡌⡌⢤⡡⣔⢢⡔⣢⢚⡴⣡⢛⡬⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢈⣿⣿⡇⢠⡇⠀⠀⠀⡖⠀⠀⠀⠀⠀⠀⠀⠀⡀⠀⠠⢹⣜⡹⢆⡳⣬⠳⡜⣥⢏⢶⣱⢫⡜⡁⠀⠂⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡇⡜⣿⣿⡱⣸⡇⢀⠀⢰⣿⠀⠀⠀⠀⠀⠀⡅⢠⠁⠀⢀⡳⣎⢷⣋⡗⣧⢻⡹⣜⡮⠓⠈⠣⡝⠀⠠⠀⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣁⣤⣦⡴⠴⠴⠄⠨⣑⠛⣷⣿⣿⣿⣿⣗⣈⠤⠴⠦⢶⣦⣰⣦⠂⠠⣹⡞⣧⢻⣜⢧⣯⡽⣞⠅⢀⡖⠀⡌⠠⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⡿⠏⣠⢰⣴⣶⢀⡤⣽⣿⣿⣿⣿⣿⣿⣿⡃⣠⢰⣾⣦⢈⠻⣿⡏⢀⢷⣻⣭⣟⢾⡽⣶⡻⠅⠀⣾⡅⠰⢁⠐⢈⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠸⣿⣦⡙⠸⠿⠛⢨⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣟⡙⠿⢏⡚⣺⣿⡃⢈⢾⣷⣻⣞⣯⣿⣷⠏⠀⢀⡷⠆⠘⠀⠌⠠⠀⠄⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠠⠀⡡⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀⠀⣿⣾⣿⠿⣿⢿⣿⣆⠀⠀⠀⠀⠀⠀⠈⠀⡁⠂⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠑⠬⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣇⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠇⠀⠈⣷⣿⣿⠁⠟⡯⢞⣿⠀⠡⠀⠀⠀⠀⠀⠀⠀⢁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠡⡙⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣽⣯⣿⣿⣿⣿⣿⣿⣿⣿⡟⠀⡀⢀⣷⣤⣆⠸⠄⣉⠛⠃⠀⠂⠀⠀⠀⠀⠀⠠⢀⠂⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠈⠍⡿⣿⣿⣿⣿⣿⣿⣿⣿⣷⣾⣿⣿⣿⣿⣿⣿⣿⠟⠀⠈⠀⠠⢿⣿⡁⡟⠀⠠⠐⠠⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠁⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢆⡁⠣⡛⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠟⠁⠀⠀⠀⠀⢈⣿⡿⢸⡁⠠⠁⠌⡐⠀⠀⠀⠀⠀⠀⠀⡀⠂⠀⠀⠀⠀⠀⠁⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⡮⣩⣓⠬⡑⠝⢿⣿⣿⣿⣿⣿⣿⣿⡿⠛⠁⠀⠀⠀⠀⠀⠀⠐⣾⡏⣳⠀⠡⢈⠐⠀⠄⠀⠀⠁⠀⠀⢂⠡⠁⠀⠀⣀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣠⠲⣙⣴⣿⣿⣿⣮⣳⢦⣝⡻⢿⡿⣿⣯⣿⢧⣲⡤⡀⠀⠀⠀⠀⠀⢀⠿⢁⠃⠀⠂⢀⠈⠀⠀⠀⠈⠀⠀⠀⠀⠀⠀⠀⠐⠁⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⢀⡀⢀⢀⣀⣐⣂⣙⣦⣵⣾⣿⣿⣿⣿⣿⣿⣿⣷⣮⣭⣷⣿⣿⣿⣿⣿⣿⣿⣷⣵⡶⠀⡠⠎⠁⡶⣸⠇⡈⠐⠂⠌⠀⠀⠀⠀⠀⠀⠀⠀⡠⠀⠀⠍⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⣤⣌⢻⡜⣿⣿⣿⣿⣿⢿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠋⠉⠉⠩⠝⠀⢀⠀⠆⠑⢋⠐⠠⠉⠐⠀⠀⠀⠀⠀⠀⡀⢄⡀⠗⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⣿⣿⣦⢻⣌⢿⡿⠋⢶⡩⠶⣭⣛⠿⣿⣿⣿⣿⣿⣿⡟⠛⢛⣻⣿⠛⠁⢀⣤⣮⠙⠁⠀⠀⠀⠀⠀⠀⠀⠈⠀⠀⠀⠀⠀⠀⠐⠠⠐⠈⠄⠀⠩⠀⠀⠀⡀⠀⠀⠀⠀⠀⠀⠀⠀ ⣿⣿⣿⣧⢻⡼⣿⣷⣶⣷⣶⣶⣿⣿⣶⣶⣾⣿⣿⣿⠀⡁⢾⣿⠣⠌⢠⣿⠻⣔⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠠⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⣿⣿⣿⣿⡎⣷⢻⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⠀⡐⢯⣿⢁⠂⡼⢃⣱⣿⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⣿⣿⣿⣿⣿⣹⡼⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡄⣡⢻⡇⠆⡐⠣⣸⣿⣿⡃⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀"
"Posted: July 15, 2018 ɢʀᴇᴀᴛ ɢᴀᴍᴇ, ʀᴜɪɴᴇᴅ ʙʏ ᴄʜᴇᴀᴛᴇʀꜱ"
"Posted: June 7, 2021 Your team in every random competitive game:  - You - Russian Guy - Another Russian Guy - A 6 year old kid who slept with your mother - Russian Guy who speaks English  10/10"
"Posted: March 1, 2022 Things I gave to Counter-Strike: 1. Money 2. Time 3. Love  Things Counter-Strike gave me: 1. Arthritis 2. Rage 3. Hatred of Russians, Spanish, and Russians 4. Broken keyboard 5. Broken mouse. 6. 9/10 ready 7. Server crashes 8. Stupid teammates 9. Competitive matches 10. ""Ez Pz"" spam 11. Multilingual cursing - I guess this is a good thing? 12. Lag 13. Cheaters 14. 64 tick servers  Essentially - CS is a greedy woman, but I love her all the time."
"Posted: September 28, 2023 I was always terrible in CS:GO, but now I can always be terrible in CS2. What an upgrade!"
"Posted: March 1, 2021 Your team in every random competitive game:  - You - Russian Guy - Another Russian Guy - A 6 year old kid who slept with your mother - Russian Guy who speaks English  10/10"
"Posted: January 16, 2018 Too many hackers and toxic plebs.  Update: We almost got 2024 and people still cheating in 'Counter Strike 2' Imagine gaben isnt able to pay for an functional anti cheat system.... speechless."
"Posted: March 3, 2017 ""Teamwork makes the dream work"" — or makes you question humanity  Review: After 1500+ hours of gameplay, I’ve unlocked a deep understanding of teamwork—or so I thought, until my teammate flashbanged the entire team into oblivion, planted the bomb on the wrong site, and then called us noobs. This game isn’t just a tactical shooter; it’s a masterclass in trust issues, skill issues, and every other kind of nonsense issue you didn’t know you had.  Here are a few invaluable lessons I’ve picked up along the way: The difference between a teammate and an enemy? Just the color of their uniform—and yes, I’ll still shoot both.  Communication is key. Unfortunately, when your team speaks six different languages, “Rush B” turns into a sitcom horror show.  90% of the game is tactical planning. The other 10% is peeking a corner and getting headshot faster than you can say “AWP.”  There’s no greater thrill than defusing the bomb with 0.01 seconds left on the clock—except realizing your teammate had a defuse kit the entire time and was watching you struggle.    This isn’t just a game; it’s a journey of through pain and chaos. Every round feels like a masterclass in tactical genius—until someone decides to buy and play The maps are intricate mazes designed to teach you how many angles you didn’t check before dying.  feels like conquering Mount Everest. feels like slipping on a banana peel while holding a Either way, you’ll scream, and    The visuals are and but the are the I now own a digital knife worth more than my rent, and I couldn’t be prouder.  The sound design is so it’s borderline Every footstep makes you every gunshot makes you and every gives you to that one time you peeked mid and    The players are a mix of tactical prodigies, comedy geniuses, and people who just discovered their keyboard has a jump key. One game, you’re part of a The next, your teammate is crouch-walking into a wall while blasting in voice chat.           This game will test your patience, your reflexes, and your will to live. It’s a rollercoaster of epic clutches, humiliating losses, and moments so absurd you’ll laugh until you cry. Somehow, despite the chaos, you’ll keep coming back for  If you enjoy balancing frustration, adrenaline, and moments of pure comedy, this game is your new best friend—and worst enemy. Just remember: it’s not a game—it’s a lifestyle, a therapy session, and a financial investment all in one.  – “Rush B, cyka blyat!”"
"Posted: March 23, 2023 gaben where my beta key"
"Posted: January 6, 2021 >see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10"
"Posted: January 7, 2025 More cheaters than on Tinder  Overall great game, just plagued with cheaters."
"Posted: September 29, 2025 After 10 years playing it, I didn't improve my skills in-game.  The time I spent playing this game could've been spent... ...studying ...applying for jobs ...making friends irl ...getting a wife ...spending time with my family ...working out ...becoming a better man in general  From the time I spent in this game, I got... ...an extremely racist and homophobic vocabulary ...free Russian lessons ...anger management issues ...borderline autistic tendencies ...sleep deprivation  10/10 would never uninstall this game and correct my life."
"Posted: February 10 Russian language course and case opening simulator. Launch the game. Get headshotted across the map by a guy with an anime profile pic. Your teammates scream things at you that you don't understand, but they sound very aggressive. Buy a case, get a grey skin worth $0.03. Repeat. 10/10, best game I've ever hated."
"Posted: February 5, 2024 Product received for free  Counter-Strike 2: When the Dream of Becoming a Pro Player Came Closer!  Hello, gamers! Today we'll be talking about Counter-Strike 2.  Remember the day you first opened CS 1.6? When every shot seemed fateful, and a victory over a teammate was a reason to celebrate for a week? That's when your love for this legendary discipline was born. But now Valve has decided to take the next step and release a new version of this beloved game.  CS2 retains the spirit of the good old classic, but added so many cool features that even veterans are wondering, ""Maybe it's time to go back?"" Now the maps look even more realistic, the bullet physics have changed so much that you'll have to relearn how to land headshots, and smoke grenades are so dense, it's as if the developers themselves were playing against cheaters.  By the way, did you know that the first CS tournament took place back in 2000? Back then, the prize pool was only a couple thousand dollars, but today, the best teams receive millions of dollars for winning majors like PGL Major Stockholm or BLAST Premier World Finals.  Is it realistic to break into the pro scene?  Every newcomer dreams of one day stepping into the big arena and hearing the roar of the crowd. And that's where CS2 gives us our chance! Thanks to new anti-cheat technologies and improved server stability, the chances of climbing the career ladder have increased significantly. The main thing is to practice, watch streams of famous players like s1mple or ZywOo, and believe in yourself! Although now it's better to hone your skills on the FACEIT platform.  But let's be honest: the path to the top is thorny. First, your teammates will blame you (""You missed again!""), then you'll have microphone issues (""I can't hear you at all""), and of course, the eternal classic—lag in the deciding round (""Why did I get killed through the wall?!""). But what a thrill it is when you finally manage to assemble your dream team and take first place at a local tournament!  So yes, my friends, CS2 isn't just a game, it's a lifetime, full of adrenaline, emotions, and unforgettable moments. So grab your mouse, put on your headphones, and get ready to conquer the heights of the esports scene with us!  P.S.: Don't forget to record a demo of your most epic moment—it'll come in handy for highlights!"
"Posted: July 5, 2016 CS !!"
"Posted: March 20, 2021 >see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10"
"Posted: November 3, 2021 >see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10"
"Posted: March 24, 2024 Very long time player here and so far all I can say is Valve is majorly dropping the ball. If any other AAA or large company had a game with this many flaws and major problems they would be getting lambasted on every gaming outlet and forum across the internet. Valves DM servers are almost entirely controlled by botted accounts meant to farm cases/farm hours to be sold. The server browser forces you to tab out and use a browser that looks about 12 years out of date. Oh did I mention the browser is dominated by faked player servers almost all of which are based in Russia and show up no matter what your search parameters are set to? Comp splits your rank to every single map and moves up at a snails pace. Most maps that I have nearly 100% winrate on with 30+ games played on that map and I'm barely above halfway in the rank tier. The new ranked mode (Premier) is infested and owned by cheaters entirely at this point. Starting at 15,000 rating you start encountering brand new accounts who don't even try and hide cheats. 25,000+ is 5v5 Hack v Hack. These cheater matches dont even involve kills that aren't wallbangs. Valves own servers are owned entirely by cheaters at this point. Anyone legit looking to play even at a casual level and up to any tier of competitive is forced to play Faceit a third party service with an actual functioning anti-cheat.  Not only is CS2 a failure so far but they didn't even have the decency to keep up support for valve CSGO servers. Shameful. Game needs a massive turn around if I'm ever gonna take it seriously. Just another massive failure and disappointment in an already disappointing field of entertainment.  What an embarassment.  REVIEW UPDATE The last vac wave seems to have cleaned up the rankings a bit and it seems to be sticking around at least for now. I've managed to achieve 27k rating in NA. That being said there is still an infrequent amount of pretty obvious closet cheaters and the occasional rage cheater. Rank #1 world player is still cheating (he has been since the beta) for example.  Game still has ongoing issues that haven't been addressed or at least still not fully fixed as we approach the year anniversary. Headboosting is still buggy. Rubberbanding when bumping teammates still presents itself. The mini ""teleport jumps"" as you tag/get tagged by enemies is still very jarring. Smoke/molly extinguishing can still be a crapshoot at times. Moving up and down ramps still moves your crosshair vertically in a very jarring and unecessary way. Plenty of various animation bugs with player models especially in relation to ramp movements. These are just some of the things I can mention off of the top of my head. There is still a kill feedback delay that wasn't present in CSGO that makes the game feel slower or just clunky and unpolished.  Besides the gameplay problems we still dont have retakes, danger zone, flying scoutsman, etc etc. The server browser is still a piece of crap that takes you out of the game and it is STILL infested with faked servers. WTF valve how can you not fix this.  Oh yeah and the greatest tragedy of all. Surf is still broken and dead in the water for CS2  But don't worry at the end of the day the in game microtransaction and gambling features will always be working no matter what."
"Posted: June 24, 2021 >see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10"
"Posted: September 1, 2021 love + hate = csgo"
"Posted: October 24, 2020 great game, lots of cheaters."
"Posted: May 20, 2022 Your team in every random competitive game:  - You - Russian Guy - Another Russian Guy - A 6 year old kid who slept with your mother - Russian Guy who speaks English  10/10"
"Posted: October 1, 2023 I've been a long time player of counterstrike. I was known as Stumpsy or sTuMpS, I was born with a disability (no hands) and I stumbled across CSGO around 2013. I was obviously really bad when I first started and only played CS as a casual game with friends who were much better than me. It wasn't until I started messing around with mouse/keyboard settings that changed everything for me. I discovered the setting Raw Mouse Input on/off and for me, not being able to pick up the mouse with no fingers, what this setting did literally changed the way I was able to play and literally accelerated gameplay for me. If I flicked fast in a direction I was able to navigate around maps and aim without having to lift my mouse off the pad. So say if I was turning right it would be a fast flick to right, back to center, fast flick to right again etc. Doing this I could basically do a full 360 within like 3-4 swipes. If i had raw mouse input turned on, that setting negates as it only follows where the mouse moves. It really bummed me out that removing this setting has pretty much ended my entire csgo gaming experience and considering they deleted csgo altogether with the replacement of CS2. I was looking forward to playing the game with friends and I've tried so many different setting to try and replicate what raw mouse input did for me. This game was the only fps game that offered a setting like that and its the only reason I stuck around playing csgo for so many years. It sucks watching all your friends play without you and it sucks feeling like you can no longer enjoy a game that gave you so much joy for so many years. I hope the devs at Valve see this and add the setting back into the game.  I have included a video explaining how I play and why mouse raw is so important for me.    and another video of my twitch compilations to show off actual gameplay."
"Posted: July 1, 2024 It saddens me how a billion dollar revenue game doesn't have a proper anti-cheat."
"Posted: May 21, 2021 Product received for free  Great game ruined by cheaters"
"Posted: June 5, 2017 Press 'E' on any chicken and it follows you"
"Posted: November 2, 2021 The Best game on steam but it has the worst anticheat."
"Posted: August 17, 2020 Product received for free  matchmaking 0/10 learning russian 10/10"
"Posted: December 22, 2017 game ez with cheats men))))"
"Posted: September 9, 2020 IQ tests should be mandatory before being able to play matchmaking"
"Posted: July 9, 2025 *download game* *practice* *get good* *start to enjoy the game bc you have friends that que with you* *friends get off* *solo que bc you want to play even without your friends* *teammates unplug mic and aim at feet* *enemies are cheating* *don't want to disconnect and lose elo/get a ban* *game ends* *uninstall* That is how you properly play CS2."
"Posted: February 17, 2016 -Opens game -Buys cases -400 blues later -Searchs for casual  Finds: Kid spamming dank memes music Russian guy yelling at kid 9 year old asking for skins Russian guy yelling at 9 year old Russian guy clutches last round then dies to bomb Russian guy yells ""I still have knife so fu*k you"" and leaves match   99/10 would casual again"
"Posted: July 5, 2025 🎯 Огляд: Counter-Strike 2 (CS2)    🕹️ Геймплей  CS2 зберігає дух CS:GO, але рушій Source 2 усе змінює. Рухи плавні, стрілянина важча, дим фізичний — все це змушує звикати навіть ветеранів.      Після оновлень ситуація стала кращою — хіти реєструються стабільно. Але усе ще тут. У 2025-му році це виглядає сумно.      Source 2 зробив гру красивою: освітлення, деталізація карт, ефекти.        VAC практично безсилий. Читери є навіть у Premier. Репорти майже не працюють, а бани — рідкість.       , на Overpass чи Mirage часті просідання. Це не той рівень, якого очікуєш від гри з мільйонами гравців.     Valve оновлює гру, але дуже повільно. Деякі баги існують місяцями, наприклад:           Але — це більше технічний бета-тест із гарною картинкою. Поки немає античита, стабільного FPS і регулярних патчів —"
"Posted: September 29, 2023 I bought CS:GO 10 years ago, why has it been replaced with CS2?!  Ikea never came in my house while I was away to replace my black chair with a yellow armchair they thought was better!  It's not an update, it's a different product! Put my purchase back in my library!"
"Posted: April 25, 2024 You hear more n words here then in the 1700s"
"Posted: June 17, 2024 Met lots of gifted individuals that can look at the ground while spinning and still click heads. Very impressive!"
"Posted: August 11, 2020 >see a guy >shoot him >miss every shot >he turns around >kills me in one shot >exit cs:go  10/10"
"Posted: June 29, 2019 Nice app for learning russian 10/10"
"Posted: March 15, 2014 veri gud gaem plei evryday kill trrorists pew pew brep brep"
"Posted: August 24, 2025 It could be one of the greatest game ever, but the cheater problem is getting out of hand..."
"Posted: July 12, 2022 After 8 years playing it, I didn't improve my skills in-game.  However, I learned new language skills: now I can curse in Russian and Brazilian Portuguese.  Also, my tolerance level to guttural screams and loud sounds was increased.  Better than any psychiatric therapy. 10/10"
"Posted: January 18, 2025 Its a very good game and here is the advantages: 1-learning russian for free 2-rage quit 3-VAC can ban every one except the cheaters 4-Losing money because of opening the case 5-CS Knives are more expensive than real world knives But honestly,Csgo was better this game sucks so valve fix them If you can"
